Titulo,Preco_Atual,Desconto_Txt,Link,Data_Coleta
Zumba - Soccer Marble League,"R$28,50",0%,https://store.playstation.com/pt-br/product/EP6556-PPSA32832_00-0382200375968212,2025-12-07
LET IT DIE: INFERNO,"R$142,50",0%,https://store.playstation.com/pt-br/product/JP0747-PPSA19053_00-FLCAPP0000000000,2025-12-07
LET IT DIE: INFERNO - Edição Deluxe,"R$256,50",0%,https://store.playstation.com/pt-br/product/JP0747-PPSA19053_00-0155802578228805,2025-12-07
LET IT DIE: INFERNO - Edição Ultimate,"R$339,90",0%,https://store.playstation.com/pt-br/product/JP0747-PPSA19053_00-0384862173779549,2025-12-07
DETECTIVE - Rainy Night,"R$62,50",0%,https://store.playstation.com/pt-br/product/UP3252-PPSA33477_00-JANDUSOFT0000001,2025-12-07
Caput Mortum,"R$68,50",0%,https://store.playstation.com/pt-br/product/UB0683-PPSA32540_00-0142963766933020,2025-12-07
ShapeShift Rush,"R$14,50",0%,https://store.playstation.com/pt-br/product/UB0487-PPSA34440_00-0965832379393984,2025-12-07
BRAINROT & TUNG COLLECTION 5 in 1,"R$114,90",0%,https://store.playstation.com/pt-br/product/UB0768-PPSA30277_00-0993374321302713,2025-12-07
BACKROOMS ESCAPE BUNDLE,"R$96,90",0%,https://store.playstation.com/pt-br/product/UB0768-PPSA27006_00-0633268232355532,2025-12-07
Microsoft Flight Simulator 2024 - Aviator Edition,"R$859,00",0%,https://store.playstation.com/pt-br/product/UP6312-PPSA23943_00-FLIGHTSIM2024AVI,2025-12-07
Microsoft Flight Simulator 2024 - Deluxe Edition,"R$429,00",0%,https://store.playstation.com/pt-br/product/UP6312-PPSA23943_00-FLIGHTSIM2024DLX,2025-12-07
Microsoft Flight Simulator 2024 - Premium Deluxe Edition,"R$559,00",0%,https://store.playstation.com/pt-br/product/UP6312-PPSA23943_00-FLIGHTSIM2024PRM,2025-12-07
Quick Whiskers,"R$28,50",0%,https://store.playstation.com/pt-br/product/UP8511-PPSA34065_00-0200813538393314,2025-12-07
Winterlight - Where silence says it all PS4 & PS5,"R$28,50",0%,https://store.playstation.com/pt-br/product/UP2005-PPSA32484_00-WINTERLIGHTWSSIA,2025-12-07
HEXMIN,"R$5,50",0%,https://store.playstation.com/pt-br/product/EP5645-PPSA32055_00-0765231145663036,2025-12-07
EA SPORTS FC™ 26 SHOWCASE,Gratuito,0%,https://store.playstation.com/pt-br/product/UP0006-PPSA27360_00-FC26FCLIVEBUNDLE,2025-12-07
skate.™ - Pacote de Boas-vindas,"R$129,00",0%,https://store.playstation.com/pt-br/product/UP0006-CUSA37423_00-FOUNDERSEDITION0,2025-12-07
skate.™ - Pacote de Boas-vindas Deluxe,"R$249,00",0%,https://store.playstation.com/pt-br/product/UP0006-CUSA37423_00-DXFOUNDERSEDITIO,2025-12-07
SLEEP AWAKE,"R$169,90",0%,https://store.playstation.com/pt-br/product/UP8651-PPSA23538_00-SLEEPAWAKE000000,2025-12-07
Book Supermarket: Library Manager Simulator,"R$39,90",0%,https://store.playstation.com/pt-br/product/EB0963-PPSA31524_00-0192398815369586,2025-12-07
Apocryphoid PS4® & PS5®,"R$16,90",0%,https://store.playstation.com/pt-br/product/UP8553-PPSA34686_00-0472606726132204,2025-12-07
BROK: The Brawl Bar,"R$56,90",0%,https://store.playstation.com/pt-br/product/EP1762-PPSA32853_00-BROKTBRAWLBARPS5,2025-12-07
BROK the InvestiGator + The Brawl Bar,"R$142,50",0%,https://store.playstation.com/pt-br/product/UP1778-PPSA10974_00-BROKBARBUNDLE000,2025-12-07
Red Dead Redemption (PS4 & PS5),"R$249,90",0%,https://store.playstation.com/pt-br/product/UP1004-PPSA30528_00-REDEMPTION000001,2025-12-07
Darkest Dungeon II: Resolute Edition PS4 & PS5,"R$339,90",0%,https://store.playstation.com/pt-br/product/UP2619-PPSA19590_00-0083000215619347,2025-12-07
